"TreatmentID","TreatmentName","Description","Procedures","Duration","SideEffects","Contraindications"
"30","ทาครีมรักษา","รักษาโดยการลดอาการอักเสบและบรรเทาอาการเจ็บปวด พร้อมปรับพฤติกรรมเพื่อป้องกันการกำเริบ","ใช้ยาทาเพื่อลดการอักเสบและบรรเทาอาการคัน

ประคบด้วยน้ำอุ่นเพื่อบรรเทาอาการเจ็บ

ปรับพฤติกรรมการกินและการขับถ่าย

กรณีรุนแรงอาจต้องรักษาด้วยวิธีทางการแพทย์ เช่น การผ่าตัด","อาการดีขึ้นใน 1-2 สัปดาห์ แต่บางรายต้องรักษานานกว่","ผิวหนังบางลงเมื่อใช้ยาเป็นเวลานาน  อาการระคายเคืองบริเวณที่ใช้ยา","หลีกเลี่ยงการใช้ยาทานานเกินคำแนะนำ  ไม่ควรใช้ในกรณีติดเชื้อโดยไม่ได้รับคำแนะนำแพทย์"
"31","รับประทานยา","รักษาตามสาเหตุหลัก เช่น การใช้ยาฆ่าเชื้อ การปรับอาหาร และการดูแลอาการ","รักษาความสะอาดและพักผ่อนให้เพียงพอ

ใช้ยา Metronidazole หรือยาตามแพทย์สั่ง

ดื่มน้ำมาก ๆ เพื่อป้องกันภาวะขาดน้ำ

หลีกเลี่ยงอาหารที่ย่อยยากหรือกระตุ้นลำไส้

พบแพทย์ติดตามอาการ หากเลือดออกมากหรือมีไข้สูง","ประมาณ 7-14 วัน ขึ้นอยู่กับสาเหตุและความรุนแรง","คลื่นไส้ ปวดศีรษะ รสชาติเปลี่ยนในปาก  หากมีอาการแพ้ยา ต้องหยุดยาและพบแพทย์","หลีกเลี่ยงใช้ยาเองโดยไม่ได้รับคำแนะนำจากแพทย์  ไม่ควรใช้ยาปฏิชีวนะหากไม่ได้รับการวินิจฉัยที่แน่นอน"
"32","การปฐมพยาบาล","การปฐมพยาบาลเบื้องต้นมุ่งเน้นการควบคุมเลือดออก ป้องกันการติดเชื้อ และลดความเจ็บปวด พร้อมทั้งดูแลไม่ให้เกิดภาวะแทรกซ้อน เช่น ช็อกหรือบาดเจ็บทางระบบประสาท","ประเมินสติและการหายใจของผู้บาดเจ็บ

หยุดเลือดโดยการกดแผลด้วยผ้าสะอาด

ทำความสะอาดแผลด้วยน้ำสะอาด หลีกเลี่ยงการใช้น้ำยาฆ่าเชื้อแรงๆ ที่ทำให้แผลระคายเคือง

ป้องกันการช็อกโดยให้ผู้บาดเจ็บนอนราบและยกขาสูง (ถ้าไม่มีบาดเจ็บกระดูกสันหลัง)

ประคบเย็นเพื่อลดอาการบวมและปวด

ใช้ยาแก้ปวด เช่น Paracetamol ตามคำแนะนำ

หากสงสัยบาดเจ็บกระดูกหรือศีรษะ หลีกเลี่ยงการเคลื่อนย้ายและรีบเรียกหน่วยกู้ภัย

หากจำเป็นต้องเคลื่อนย้าย ให้ใช้วิธีล็อกศีรษะและลำตัวอย่างถูกต้อง

","ขึ้นอยู่กับความรุนแรงของอาการ บาดแผลเล็กน้อยอาจหาย","อาการบวม ฟกช้ำ อาจกินเวลานาน  อาการปวดหรือเจ็บในบางจุดอาจคงอยู่ชั่วคราว  ความเสี่ยงติดเชื้อในแผลถ้าไม่ดูแลแผลอย่างถูกวิธี","หลีกเลี่ยงการเคลื่อนย้ายผู้บาดเจ็บที่สงสัยว่ามีอาการกระดูกสันหลังหักโดยไม่ชำนาญ  ห้ามใช้ยาที่ไม่ได้รับคำแนะนำจากแพทย์  ห้ามบีบหรือกดแผลแรง ๆ ที่อาจทำให้แผลแย่ลง"
"33","การปฐมพยาบาล","การรักษาขึ้นอยู่กับอาการบาดเจ็บ โดยเริ่มจากการประเมินอาการ ปฐมพยาบาลเบื้องต้น และส่งโรงพยาบาลหากรุนแรง","ห้ามเคลื่อนย้ายผู้ป่วยหากสงสัยกระดูกหักหรือกระดูกสันหลัง

ตรวจชีพจร และระดับการรู้สึกตัว

ห้ามเลือด หากมีเลือดออก

ประคบเย็นหากบวม

ให้ยาบรรเทาปวดหากไม่มีข้อห้าม

รีบนำส่งโรงพยาบาล","ขึ้นอยู่กับความรุนแรงของการบาดเจ็บ  แผลเล็กน้อยอาจ","ปวดเรื้อรังจากการบาดเจ็บ  ข้อติด ยึด หรือการเคลื่อนไหวจำกัด  ภาวะซึมเศร้าหลังอุบัติเหตุ","ห้ามเคลื่อนย้ายผู้บาดเจ็บหากสงสัยกระดูกคอหรือกระดูกสันหลังหัก  ห้ามให้ผู้ป่วยดื่มน้ำหากหมดสติหรือมีอาการทางสมอง"
"34","การปฐมพยาบาล","การรักษาขึ้นอยู่กับความรุนแรงของการบาดเจ็บ โดยเริ่มจากการปฐมพยาบาลเบื้องต้น (หลัก R.I.C.E) และรักษาเพิ่มเติมตามอาการ เช่น กายภาพบำบัด หรือผ่าตัดในรายที่รุนแรง","พักการใช้งาน (Rest)

ประคบเย็นเพื่อลดบวม (Ice)

พันผ้ายืดเพื่อพยุง (Compression)

ยกสูงเพื่อช่วยลดบวม (Elevation)

รับประทานยาบรรเทาอาการปวด/อักเสบ

หากอาการไม่ดีขึ้น ควรพบแพทย์","อาการเล็กน้อย: 3–7 วัน  อาการรุนแรง: หลายสัปดาห์ถึ","ปวดเรื้อรัง  กล้ามเนื้ออ่อนแรง  ข้อติดหรือตึง  เสี่ยงต่อการบาดเจ็บซ้ำหากไม่ฟื้นตัวเต็มที่","ห้ามใช้ความร้อนใน 48 ชั่วโมงแรก  ห้ามเคลื่อนไหวอวัยวะที่บาดเจ็บรุนแรง  ห้ามนวดหรือกดจุดหากสงสัยกล้ามเนื้อฉีก"
"35","การปฐมพยาบาล","การนำก้างปลาออกโดยวิธีที่ปลอดภัย หากมองเห็นได้อาจใช้คีมพิเศษดึงออก หากไม่เห็น อาจต้องใช้กล้องตรวจภายในโดยแพทย์ หรือเอกซเรย์เพื่อระบุตำแหน่ง","ตรวจบริเวณลำคอโดยใช้ไฟฉายหรือเครื่องมือแพทย์

หากเห็นก้าง: ใช้คีมปลอดเชื้อคีบออกอย่างระมัดระวัง

หากไม่เห็นก้าง: ส่งต่อให้ ENT ใช้กล้องตรวจหรือเอกซเรย์

อาจให้ยาแก้แพ้หรือยาแก้อักเสบหากมีอาการบวม

แนะนำงดของแข็ง/เผ็ด/ร้อน จนกว่าอาการจะหายดี","หากเอาก้างออกสำเร็จ อาการดีขึ้นภายใน 1–2 วัน หากมี","เจ็บคอจากบาดแผล  อักเสบติดเชื้อหากมีแผล  ความเครียดหรือกลัวการกลืนอาหารในอนาคต","ห้ามพยายามกลืนข้าวเหนียวหรือกล้วยเพื่อดันก้างออก  ห้ามใช้มือหรือของแข็งแคะออกเอง อาจทำให้แผลลึกหรือก้างจมลง"
"36","การปฐมพยาบาล","รักษาด้วยการทำความสะอาดแผล ห้ามเลือด และป้องกันการติดเชื้อ รวมถึงการเย็บแผลหากจำเป็น","ห้ามเลือดด้วยผ้ากดแผล

ล้างแผลด้วยน้ำเกลือหรือสบู่อ่อน

ใส่ยาฆ่าเชื้อและปิดแผลด้วยผ้าก๊อซปลอดเชื้อ

หากแผลลึกหรือขอบแผลแยก อาจต้องเย็บแผล

ให้ยาปฏิชีวนะหากเสี่ยงติดเชื้อ

พิจารณาฉีดวัคซีนบาดทะยัก หากยังไม่เคยฉีดหรือฉีดนานแล้ว

","แผลตื้น: 3–5 วัน  แผลลึกหรือเย็บ: 7–14 วัน  แผลติด","แผลเป็น  ติดเชื้อบวมแดง หนอง  การอักเสบของเนื้อเยื่อรอบแผล","ห้ามใช้แอลกอฮอล์แรงๆ ล้างแผลสด  ห้ามใช้ผ้าสกปรกหรือของมีคมแคะแผล  ห้ามปล่อยให้แผลลึกหรือใหญ่โดยไม่พบแพทย์"
"37","การรักษาตามอาการและป้องกันการติดเชื้อซ้ำ","อีสุกอีใสเป็นโรคติดเชื้อไวรัสที่เกิดจากไวรัส Varicella-Zoster การรักษามุ่งเน้นบรรเทาอาการ คัน และป้องกันการติดเชื้อแบคทีเรียซ้ำ โดยใช้ยาตามอาการและยาต้านไวรัสในบางกรณี","	1. แยกผู้ป่วยเพื่อป้องกันการแพร่เชื้อ
2. รักษาอาการไข้ด้วยพาราเซตามอล
3. ใช้ยาทาผิวเพื่อบรรเทาอาการคัน เช่น โลชั่นคาลาไมน์
4. หลีกเลี่ยงการเกาหรือบีบตุ่มน้ำ
5. ในกรณีที่มีความเสี่ยงหรือติดเชื้อรุนแรง ใช้ยาต้านไวรัส เช่น Aciclovir
6. ดูแลความสะอาดผิวและล้างมือบ่อย ๆ
7. ติดตามอาการและพบแพทย์ถ้าอาการแย่ลง","โดยทั่วไป 7–10 วัน จนตุ่มน้ำแห้งและตกสะเก็ด","อาการคันและระคายเคืองผิวหนัง ผลข้างเคียงจากยาต้านไวรัส เช่น คลื่นไส้ ปวดหัว","ห้ามใช้แอสไพรินในเด็กที่มีอีสุกอีใส (เสี่ยงโรคเรย์)  หลีกเลี่ยงยาที่ทำให้ภูมิคุ้มกันลดลงโดยไม่จำเป็น"
"38","การหลีกเลี่ยงสารก่อภูมิแพ้และใช้ยาเพื่อลดอาการคัดจมูกและอาการแพ้","คัดจมูกแพ้อากาศเกิดจากการแพ้สารก่อภูมิแพ้ในอากาศ การรักษาจะเน้นลดอาการโดยการใช้ยาต้านฮิสตามีน ยาพ่นจมูกสเตียรอยด์ และปรับพฤติกรรมหลีกเลี่ยงสารก่อภูมิแพ้","1. หลีกเลี่ยงสารก่อภูมิแพ้ เช่น ฝุ่น ควัน ละอองเกสรดอกไม้
2. ใช้ยาต้านฮิสตามีนชนิดเม็ดหรือน้ำเชื่อม
3. ใช้ยาพ่นจมูกสเตียรอยด์ตามคำแนะนำแพทย์
4. ล้างจมูกด้วยน้ำเกลือล้างจมูกเพื่อช่วยลดอาการ
5. พบแพทย์หากอาการไม่ดีขึ้นหรือลุกลาม","หลายสัปดาห์ถึงหลายเดือน ขึ้นกับความรุนแรงของอาการแ","แสบจมูก แสบคอ ปากแห้ง อาการง่วงนอนจากยาต้านฮิสตามีนบางชนิด","หลีกเลี่ยงการใช้ยาพ่นจมูกสเตียรอยด์เกินขนาดและใช้ยาต้านฮิสตามีนโดยไม่ปรึกษาแพทย์"
"39","การรักษาตามอาการและการดูแลประคับประคอง","คางทูมเกิดจากการติดเชื้อไวรัส mumps virus ซึ่งไม่มีการรักษาโดยตรงด้วยยาต้านไวรัส การรักษาจึงมุ่งเน้นบรรเทาอาการ เช่น ลดไข้ ปวด และดูแลให้ผู้ป่วยพักผ่อนอย่างเพียงพอ","1. รับประทานยาลดไข้และยาแก้ปวด เช่น พาราเซตามอลหรือไอบูโพรเฟน
2. ประคบอุ่นบริเวณที่บวมเพื่อบรรเทาอาการเจ็บ
3. รับประทานอาหารอ่อน หลีกเลี่ยงอาหารที่เคี้ยวยาก
4. พักผ่อนให้เพียงพอ
5. หลีกเลี่ยงการสัมผัสกับผู้อื่นเพื่อลดการแพร่เชื้อ
6. พบแพทย์หากมีอาการรุนแรง เช่น ปวดศีรษะรุนแรง หรือบวมต่อมน้ำเหลืองบริเวณอื่น","ประมาณ 7–10 วัน","ไม่มีผลข้างเคียงจากการรักษาโดยตรง แต่ยาแก้ปวดอาจมีผลข้างเคียงเล็กน้อยตามชนิดยา","หลีกเลี่ยงการใช้ยาโดยไม่ปรึกษาแพทย์ และห้ามใช้ยาต้านไวรัสโดยไม่ได้รับคำแนะนำ"
